From	To
A0A0B4J2F0	PIGBOS1
A0AV96	RBM47
A0AVF1	TTC26
A0AVT1	UBA6
A0FGR8	ESYT2
A0JNW5	UHRF1BP1L
A0M8Q6	IGLC7
A0MZ66	SHTN1
A0PJW6	TMEM223
A0PJZ3	GXYLT2
A1A4S6	ARHGAP10
A1IGU5	ARHGEF37
A1L0T0	ILVBL
A1L390	PLEKHG3
A1L4H1	SSC5D
A1X283	SH3PXD2B
A2RRP1	NBAS
A2RTX5	TARS3
A2RUS2	DENND3
A3KMH1	VWA8
A3KN83	SBNO1
A4D1E9	GTPBP10
A4D1P6	WDR91
A4D1U4	DENND11
A5A3E0	POTEF
A5D8V6	VPS37C
A5PLL7	TMEM189
A5PLN9	TRAPPC13
A5YKK6	CNOT1
A6NC98	CCDC88B
A6NDG6	PGP
A6NDU8	C5orf51
A6NFI3	ZNF316
A6NFQ2	TCAF2
A6NHR9	SMCHD1
A6NI28	ARHGAP42
A6NI79	CCDC69
A6NIH7	UNC119B
A6NMZ7	COL6A6
A7E2V4	ZSWIM8
A8CG34	POM121C
A8MTT3	CEBPZOS
A8MW92	PHF20L1
A8MWY0	KIAA1324L
A8MXV4	NUDT19
A8TX70	COL6A5
A9UHW6	MIF4GD
B0I1T2	MYO1G
B2RTY4	MYO9A
B7ZAP0	RABGAP1L
B9A064	IGLL5
C9JLW8	MCRIP1
E9PRG8	C11orf98
O00115	DNASE2
O00116	AGPS
O00139	KIF2A
O00142	TK2
O00148	DDX39A
O00151	PDLIM1
O00154	ACOT7
O00159	MYO1C
O00160	MYO1F
O00161	SNAP23
O00165	HAX1
O00170	AIP
O00178	GTPBP1
O00182	LGALS9
O00186	STXBP3
O00187	MASP2
O00189	AP4M1
O00192	ARVCF
O00193	SMAP
O00194	RAB27B
O00203	AP3B1
O00204	SULT2B1
O00214	LGALS8
O00217	NDUFS8
O00221	NFKBIE
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00244	ATOX1
O00255	MEN1
O00264	PGRMC1
O00267	SUPT5H
O00268	TAF4
O00273	DFFA
O00287	RFXAP
O00291	HIP1
O00299	CLIC1
O00303	EIF3F
O00308	WWP2
O00329	PIK3CD
O00330	PDHX
O00339	MATN2
O00391	QSOX1
O00399	DCTN6
O00400	SLC33A1
O00401	WASL
O00408	PDE2A
O00410	IPO5
O00411	POLRMT
O00418	EEF2K
O00421	CCRL2
O00422	SAP18
O00423	EML1
O00429	DNM1L
O00442	RTCA
O00443	PIK3C2A
O00459	PIK3R2
O00461	GOLIM4
O00462	MANBA
O00468	AGRN
O00469	PLOD2
O00471	EXOC5
O00478	BTN3A3
O00481	BTN3A1
O00483	NDUFA4
O00487	PSMD14
O00499	BIN1
O00501	CLDN5
O00505	KPNA3
O00506	STK25
O00515	LAD1
O00519	FAAH
O00522	KRIT1
O00533	CHL1
O00534	VWA5A
O00541	PES1
O00559	EBAG9
O00560	SDCBP
O00562	PITPNM1
O00566	MPHOSPH10
O00567	NOP56
O00571	DDX3X
O00584	RNASET2
O00585	CCL21
O00592	PODXL
O00602	FCN1
O00622	CCN1
O00625	PIR
O00629	KPNA4
O00635	TRIM38
O00712	NFIB
O00743	PPP6C
O00746	NME4
O00750	PIK3C2B
O00754	MAN2B1
O00757	FBP2
O00764	PDXK
O00767	SCD
O14494	PLPP1
O14495	PLPP3
O14497	ARID1A
O14498	ISLR
O14521	SDHD
O14523	C2CD2L
O14524	NEMP1
O14530	TXNDC9
O14545	TRAFD1
O14548	COX7A2L
O14558	HSPB6
O14561	NDUFAB1
O14562	UBFD1
O14569	CYB561D2
O14578	CIT
O14579	COPE
O14617	AP3D1
O14618	CCS
O14638	ENPP3
O14639	ABLIM1
O14641	DVL2
O14646	CHD1
O14647	CHD2
O14653	GOSR2
O14656	TOR1A
O14657	TOR1B
O14662	STX16
O14672	ADAM10
O14678	ABCD4
O14681	EI24
O14683	TP53I11
O14684	PTGES
O14686	KMT2D
O14727	APAF1
O14732	IMPA2
O14733	MAP2K7
O14734	ACOT8
O14735	CDIPT
O14737	PDCD5
O14744	PRMT5
O14745	SLC9A3R1
O14756	HSD17B6
O14772	FPGT
O14773	TPP1
O14776	TCERG1
O14786	NRP1
O14787	TNPO2
O14791	APOL1
O14795	UNC13B
O14802	POLR3A
O14807	MRAS
O14817	TSPAN4
O14818	PSMA7
O14827	RASGRF2
O14828	SCAMP3
O14832	PHYH
O14841	OPLAH
O14867	BACH1
O14874	BCKDK
O14879	IFIT3
O14880	MGST3
O14896	IRF6
O14907	TAX1BP3
O14908	GIPC1
O14910	LIN7A
O14920	IKBKB
O14929	HAT1
O14933	UBE2L6
O14936	CASK
O14939	PLD2
O14949	UQCRQ
O14957	UQCR11
O14958	CASQ2
O14960	LECT2
O14964	HGS
O14966	RAB29
O14972	VPS26C
O14974	PPP1R12A
O14975	SLC27A2
O14976	GAK
O14979	HNRNPDL
O14980	XPO1
O14981	BTAF1
O15013	ARHGEF10
O15020	SPTBN2
O15021	MAST4
O15027	SEC16A
O15031	PLXNB2
O15037	KHNYN
O15040	TECPR2
O15042	U2SURP
O15047	SETD1A
O15049	N4BP3
O15050	TRANK1
O15056	SYNJ2
O15061	SYNM
O15063	KIAA0355
O15066	KIF3B
O15067	PFAS
O15068	MCF2L
O15075	DCLK1
O15078	CEP290
O15084	ANKRD28
O15085	ARHGEF11
O15091	PRORP
O15111	CHUK
O15116	LSM1
O15117	FYB1
O15118	NPC1
O15120	AGPAT2
O15121	DEGS1
O15123	ANGPT2
O15126	SCAMP1
O15127	SCAMP2
O15143	ARPC1B
O15144	ARPC2
O15145	ARPC3
O15155	BET1
O15156	ZBTB7B
O15160	POLR1C
O15162	PLSCR1
O15164	TRIM24
O15173	PGRMC2
O15182	CETN3
O15194	CTDSPL
O15211	RGL2
O15212	PFDN6
O15213	WDR46
O15226	NKRF
O15228	GNPAT
O15229	KMO
O15230	LAMA5
O15231	ZNF185
O15235	MRPS12
O15243	LEPROT
O15247	CLIC2
O15254	ACOX3
O15258	RER1
O15260	SURF4
O15264	MAPK13
O15269	SPTLC1
O15270	SPTLC2
O15294	OGT
O15296	ALOX15B
O15305	PMM2
O15320	MIA2
O15321	TM9SF1
O15327	INPP4B
O15344	MID1
O15347	HMGB3
O15355	PPM1G
O15357	INPPL1
O15371	EIF3D
O15372	EIF3H
O15379	HDAC3
O15381	NVL
O15382	BCAT2
O15394	NCAM2
O15397	IPO8
O15400	STX7
O15427	SLC16A3
O15431	SLC31A1
O15438	ABCC3
O15439	ABCC4
O15446	CD3EAP
O15455	TLR3
O15460	P4HA2
O15484	CAPN5
O15498	YKT6
O15504	NUP42
O15511	ARPC5
O15514	POLR2D
O15523	DDX3Y
O15525	MAFG
O15530	PDPK1
O15533	TAPBP
O15550	KDM6A
O15551	CLDN3
O43143	DHX15
O43148	RNMT
O43149	ZZEF1
O43150	ASAP2
O43155	FLRT2
O43157	PLXNB1
O43159	RRP8
O43166	SIPA1L1
O43169	CYB5B
O43172	PRPF4
O43175	PHGDH
O43181	NDUFS4
O43182	ARHGAP6
O43189	PHF1
O43236	SEPTIN4
O43237	DYNC1LI2
O43242	PSMD3
O43252	PAPSS1
O43264	ZW10
O43272	PRODH
O43278	SPINT1
O43290	SART1
O43291	SPINT2
O43292	GPAA1
O43293	DAPK3
O43294	TGFB1I1
O43299	AP5Z1
O43301	HSPA12A
O43306	ADCY6
O43310	CTIF
O43312	MTSS1
O43314	PPIP5K2
O43318	MAP3K7
O43324	EEF1E1
O43353	RIPK2
O43390	HNRNPR
O43395	PRPF3
O43396	TXNL1
O43399	TPD52L2
O43402	EMC8
O43405	COCH
O43414	ERI3
O43422	THAP12
O43426	SYNJ1
O43427	FIBP
O43432	EIF4G3
O43447	PPIH
O43451	MGAM
O43464	HTRA2
O43488	AKR7A2
O43491	EPB41L2
O43493	TGOLN2
O43504	LAMTOR5
O43505	B4GAT1
O43508	TNFSF12
O43513	MED7
O43516	WIPF1
O43520	ATP8B1
O43524	FOXO3
O43556	SGCE
O43567	RNF13
O43572	AKAP10
O43583	DENR
O43586	PSTPIP1
O43592	XPOT
O43598	DNPH1
O43615	TIMM44
O43617	TRAPPC3
O43633	CHMP2A
O43639	NCK2
O43657	TSPAN6
O43660	PLRG1
O43665	RGS10
O43670	ZNF207
O43674	NDUFB5
O43676	NDUFB3
O43678	NDUFA2
O43681	GET3
O43684	BUB3
O43692	PI15
O43707	ACTN4
O43708	GSTZ1
O43719	HTATSF1
O43736	ITM2A
O43739	CYTH3
O43741	PRKAB2
O43747	AP1G1
O43752	STX6
O43759	SYNGR1
O43760	SYNGR2
O43765	SGTA
O43768	ENSA
O43772	SLC25A20
O43776	NARS1
O43795	MYO1B
O43808	SLC25A17
O43809	NUDT21
O43813	LANCL1
O43815	STRN
O43818	RRP9
O43819	SCO2
O43822	CFAP410
O43823	AKAP8
O43824	GTPBP6
O43826	SLC37A4
O43837	IDH3B
O43847	NRDC
O43852	CALU
O43854	EDIL3
O43861	ATP9B
O43865	AHCYL1
O43866	CD5L
O43895	XPNPEP2
O43896	KIF1C
O43909	EXTL3
O43913	ORC5
O43914	TYROBP
O43915	VEGFD
O43920	NDUFS5
O43924	PDE6D
O43929	ORC4
O43933	PEX1
O60216	RAD21
O60218	AKR1B10
O60229	KALRN
O60231	DHX16
O60232	ZNRD2
O60234	GMFG
O60237	PPP1R12B
O60238	BNIP3L
O60243	HS6ST1
O60244	MED14
O60245	PCDH7
O60256	PRPSAP2
O60262	GNG7
O60264	SMARCA5
O60266	ADCY3
O60268	KIAA0513
O60271	SPAG9
O60279	SUSD5
O60287	URB1
O60291	MGRN1
O60292	SIPA1L3
O60306	AQR
O60313	OPA1
O60315	ZEB2
O60318	MCM3AP
O60331	PIP5K1C
O60333	KIF1B
O60337	MARCHF6
O60341	KDM1A
O60343	TBC1D4
O60353	FZD6
O60427	FADS1
O60437	PPL
O60443	GSDME
O60447	EVI5
O60449	LY75
O60462	NRP2
O60476	MAN1A2
O60486	PLXNC1
O60487	MPZL2
O60488	ACSL4
O60493	SNX3
O60496	DOK2
O60499	STX10
O60502	OGA
O60503	ADCY9
O60504	SORBS3
O60506	SYNCRIP
O60507	TPST1
O60508	CDC40
O60512	B4GALT3
O60513	B4GALT4
O60518	RANBP6
O60524	NEMF
O60547	GMDS
O60551	NMT2
O60568	PLOD3
O60573	EIF4E2
O60602	TLR5
O60603	TLR2
O60610	DIAPH1
O60613	SELENOF
O60635	TSPAN1
O60637	TSPAN3
O60645	EXOC3
O60658	PDE8A
O60664	PLIN3
O60669	SLC16A7
O60671	RAD1
O60674	JAK2
O60678	PRMT3
O60684	KPNA6
O60687	SRPX2
O60701	UGDH
O60704	TPST2
O60706	ABCC9
O60711	LPXN
O60716	CTNND1
O60725	ICMT
O60749	SNX2
O60760	HPGDS
O60762	DPM1
O60763	USO1
O60783	MRPS14
O60784	TOM1
O60825	PFKFB2
O60826	CCDC22
O60828	PQBP1
O60830	TIMM17B
O60831	PRAF2
O60832	DKC1
O60841	EIF5B
O60858	TRIM13
O60861	GAS7
O60869	EDF1
O60879	DIAPH2
O60884	DNAJA2
O60885	BRD4
O60888	CUTA
O60890	OPHN1
O60895	RAMP2
O60906	SMPD2
O60907	TBL1X
O60921	HUS1
O60925	PFDN1
O60934	NBN
O60936	NOL3
O60941	DTNB
O60942	RNGTT
O75015	FCGR3B
O75022	LILRB3
O75023	LILRB5
O75027	ABCB7
O75044	SRGAP2
O75051	PLXNA2
O75054	IGSF3
O75063	FAM20B
O75064	DENND4B
O75071	EFCAB14
